DrugBank_ID,UniProt_ID,Kd(nM)
D1,P1,0
D2,P2,0
D2,P2,0
D3,P3,0
D4,P3,0
D5,P3,0
D6,P4,0
D5,P5,0
D7,P5,0
D8,P6,0
D9,P6,0
D10,P6,0
D5,P6,0
D8,P5,0
D11,P5,0
D9,P5,0
D10,P5,0
D11,P6,0
D4,P6,0
D7,P6,0
D3,P5,0
D4,P5,0
D3,P6,0
D12,P7,0
D13,P7,0
D14,P8,0
D15,P9,0
D16,P10,1.00E-06
D17,P10,1.00E-06
D18,P10,1.00E-06
D17,P10,1.00E-06
D19,P10,1.00E-05
D20,P10,1.00E-05
D21,P11,1.90E-05
D22,P12,4.70E-05
D23,P13,0.0002
D24,P14,0.00026
D25,P15,0.00027
D26,P16,0.00041
D3,P5,0.00041
D27,P15,0.000418
D28,P15,0.000453
D29,P12,0.00046
D30,P17,0.0005
D31,P15,0.0008
D32,P12,0.00095
D33,P10,0.001
D33,P10,0.001
D34,P10,0.001
D35,P18,0.001
D36,P19,0.001
D37,P20,0.001
D37,P21,0.001
D38,P19,0.001
D37,P22,0.001
D38,P23,0.001
D36,P24,0.001
D38,P24,0.001
D36,P23,0.001
D39,P25,0.001
D40,P26,0.001
D40,P26,0.001
D41,P27,0.001
D42,P28,0.00128
D43,P29,0.0013
D44,P30,0.0016
D45,P16,0.0016
D46,P12,0.002
D47,P12,0.002
D48,P17,0.002
D49,P31,0.002
D50,P11,0.002
D50,P32,0.002
D51,P16,0.002
D52,P32,0.002
D53,P11,0.002
D54,P32,0.002
D53,P32,0.002
D55,P11,0.002
D50,P16,0.002
D56,P33,0.002
D57,P31,0.0024
D58,P34,0.003
D53,P16,0.003
D59,P16,0.003
D60,P11,0.003
D59,P11,0.003
D61,P32,0.003
D62,P11,0.003
D55,P32,0.003
D63,P35,0.003
D64,P17,0.0032
D65,P36,0.0032
D66,P15,0.00343
D67,P37,0.003715
D68,P30,0.004
D69,P11,0.004
D68,P11,0.004
D70,P38,0.004
D71,P32,0.004
D72,P38,0.004
D73,P11,0.004
D74,P11,0.004
D51,P11,0.004
D71,P11,0.004
D75,P11,0.004
D76,P16,0.004
D75,P31,0.004
D60,P32,0.004
D74,P30,0.004
D77,P27,0.004
D78,P16,0.0042
D21,P32,0.0045
D79,P39,0.0045
D80,P40,0.0047
D81,P31,0.0048
D82,P41,0.005
D83,P42,0.005
D84,P43,0.005
D85,P30,0.005
D86,P30,0.005
D71,P38,0.005
D53,P30,0.005
D87,P11,0.005
D88,P32,0.005
D61,P38,0.005
D89,P32,0.005
D55,P44,0.005
D70,P11,0.005
D59,P32,0.005
D90,P32,0.005
D60,P30,0.005
D61,P16,0.005
D91,P16,0.005
D92,P45,0.005
D93,P46,0.0054
D94,P46,0.0054
D95,P47,0.0056
D96,P30,0.0056
D97,P11,0.0057
D98,P48,0.0058
D99,P40,0.0059
D100,P42,0.006
D101,P42,0.006
D102,P43,0.006
D103,P11,0.006
D103,P44,0.006
D104,P16,0.006
D71,P16,0.006
D62,P16,0.006
D105,P16,0.006
D61,P11,0.006
D106,P32,0.006
D54,P11,0.006
D75,P30,0.006
D60,P44,0.006
D90,P11,0.006
D107,P11,0.006
D87,P16,0.006
D106,P11,0.006
D108,P15,0.00615
D109,P40,0.0066
D110,P49,0.0066
D111,P11,0.0067
D93,P30,0.0068
D112,P50,0.007
D113,P50,0.007
D85,P11,0.007
D114,P11,0.007
D60,P31,0.007
D115,P11,0.007
D52,P11,0.007
D107,P32,0.007
D55,P31,0.007
D55,P16,0.007
D51,P30,0.007
D51,P32,0.007
D52,P30,0.007
D116,P16,0.007
D117,P32,0.007
D118,P51,0.007
D119,P51,0.007
D120,P40,0.0075
D121,P52,0.007762
D122,P31,0.0078
D49,P16,0.0079
D123,P53,0.00794
D124,P50,0.008
D125,P42,0.008
D121,P52,0.008
D126,P54,0.008
D127,P11,0.008
D128,P34,0.008
D90,P30,0.008
D129,P31,0.008
D88,P30,0.008
D50,P30,0.008
D130,P11,0.008
D74,P32,0.008
D131,P32,0.008
D132,P16,0.008
D106,P44,0.008
D133,P38,0.008
D54,P38,0.008
D134,P27,0.008
D135,P38,0.0081
D136,P55,0.0085
D137,P11,0.0085
D138,P55,0.0086
D139,P35,0.009
D140,P50,0.009
D141,P50,0.009
D142,P50,0.009
D143,P42,0.009
D144,P42,0.009
D145,P42,0.009
D146,P16,0.009
D147,P30,0.009
D148,P11,0.009
D88,P16,0.009
D54,P16,0.009
D88,P11,0.009
D62,P44,0.009
D62,P32,0.009
D62,P31,0.009
D70,P16,0.009
D105,P11,0.009
D74,P16,0.009
D15,P9,0.009
D149,P40,0.0091
D97,P30,0.0094
D122,P16,0.0096
D22,P56,0.01
D150,P57,0.01
D80,P58,0.01
D151,P59,0.01
D152,P41,0.01
D153,P50,0.01
D153,P50,0.01
D154,P50,0.01
D155,P42,0.01
D156,P42,0.01
D157,P60,0.01
D158,P61,0.01
D159,P52,0.01
D127,P30,0.01
D160,P62,0.01
D161,P63,0.01
D160,P63,0.01
D117,P30,0.01
D54,P30,0.01
D50,P44,0.01
D115,P16,0.01
D91,P11,0.01
D162,P16,0.01
D129,P30,0.01
D59,P30,0.01
D55,P30,0.01
D162,P30,0.01
D107,P30,0.01
D133,P11,0.01
D163,P11,0.01
D88,P38,0.01
D50,P38,0.01
D70,P32,0.01
D87,P32,0.01
D89,P38,0.01
D147,P16,0.01
D90,P16,0.01
D107,P16,0.01
D148,P16,0.01
D164,P16,0.01
D129,P11,0.01
D165,P11,0.01
D166,P11,0.01
D53,P31,0.01
D75,P32,0.01
D60,P16,0.01
D167,P11,0.01
D72,P11,0.01
D167,P30,0.01
D72,P30,0.01
D70,P30,0.01
D106,P16,0.01
D168,P64,0.01
D169,P65,0.01
D170,P66,0.01
D171,P50,0.011
D172,P50,0.011
D112,P50,0.011
D173,P42,0.011
D174,P42,0.011
D175,P67,0.011
D176,P11,0.011
D177,P11,0.011
D68,P44,0.011
D178,P31,0.011
D179,P48,0.011
D180,P11,0.011
D179,P44,0.011
D181,P31,0.011
D182,P31,0.011
D183,P12,0.012
D153,P68,0.012
D171,P50,0.012
D184,P50,0.012
D112,P68,0.012
D185,P42,0.012
D186,P42,0.012
D103,P30,0.012
D44,P31,0.012
D179,P16,0.012
D187,P11,0.012
D188,P11,0.012
D80,P69,0.013
D189,P42,0.013
D190,P42,0.013
D191,P42,0.013
D69,P32,0.013
D192,P70,0.013
D149,P58,0.014
D193,P50,0.014
D142,P50,0.014
D194,P42,0.014
D195,P42,0.014
D196,P32,0.014
D197,P71,0.014
D180,P30,0.014
D122,P44,0.014
D198,P72,0.0149
D199,P72,0.0149
D200,P72,0.0149
D201,P72,0.0149
