Drug_Index,Protein_Index,Kd (nM)
D1,P1,0.0
D2,P2,0.0
D2,P2,0.0
D3,P3,0.0
D4,P3,0.0
D5,P3,0.0
D6,P4,0.0
D5,P5,0.0
D7,P5,0.0
D8,P6,0.0
D9,P6,0.0
D10,P6,0.0
D5,P6,0.0
D8,P5,0.0
D11,P5,0.0
D9,P5,0.0
D10,P5,0.0
D11,P6,0.0
D4,P6,0.0
D7,P6,0.0
D3,P5,0.0
D4,P5,0.0
D3,P6,0.0
D12,P7,0.0
D13,P7,0.0
D14,P8,0.0
D15,P9,0.0
D16,P10,1e-06
D17,P10,1e-06
D18,P10,1e-06
D17,P10,1e-06
D19,P10,1e-05
D20,P10,1e-05
D21,P11,1.9e-05
D22,P12,4.7e-05
D23,P13,0.0002
D24,P14,0.00026
D25,P15,0.00027
D26,P16,0.00041
D3,P5,0.00041
D27,P15,0.000418
D28,P15,0.000453
D29,P12,0.00046
D30,P17,0.0005
D31,P15,0.0008
D32,P12,0.00095
D33,P10,0.001
D33,P10,0.001
D34,P10,0.001
D35,P18,0.001
D36,P19,0.001
D37,P20,0.001
D37,P21,0.001
D38,P19,0.001
D37,P22,0.001
D38,P23,0.001
D36,P24,0.001
D38,P24,0.001
D36,P23,0.001
D39,P25,0.001
D40,P26,0.001
D40,P26,0.001
D41,P27,0.001
D42,P28,0.00128
D43,P29,0.0013
D44,P30,0.0016
D45,P16,0.0016
D46,P12,0.002
D47,P12,0.002
D48,P17,0.002
D49,P31,0.002
D50,P11,0.002
D50,P32,0.002
D51,P16,0.002
D52,P32,0.002
D53,P11,0.002
D54,P32,0.002
D53,P32,0.002
D55,P11,0.002
D50,P16,0.002
D56,P33,0.002
D57,P31,0.0024
D58,P34,0.003
D53,P16,0.003
D59,P16,0.003
D60,P11,0.003
D59,P11,0.003
D61,P32,0.003
D62,P11,0.003
D55,P32,0.003
D63,P35,0.003
D64,P17,0.0032
D65,P36,0.0032
D66,P15,0.00343
D67,P37,0.003715
D68,P30,0.004
D69,P11,0.004
D68,P11,0.004
D70,P38,0.004
D71,P32,0.004
D72,P38,0.004
D73,P11,0.004
D74,P11,0.004
D51,P11,0.004
D71,P11,0.004
D75,P11,0.004
D76,P16,0.004
D75,P31,0.004
D60,P32,0.004
D74,P30,0.004
D77,P27,0.004
D78,P16,0.0042
D21,P32,0.0045
D79,P39,0.0045
D80,P40,0.0047
D81,P31,0.0048
D82,P41,0.005
D83,P42,0.005
D84,P43,0.005
D85,P30,0.005
D86,P30,0.005
D71,P38,0.005
D53,P30,0.005
D87,P11,0.005
D88,P32,0.005
D61,P38,0.005
D89,P32,0.005
D55,P44,0.005
D70,P11,0.005
D59,P32,0.005
D90,P32,0.005
D60,P30,0.005
D61,P16,0.005
D91,P16,0.005
D92,P45,0.005
D93,P46,0.0054
D94,P46,0.0054
D95,P47,0.0056
D96,P30,0.0056
D97,P11,0.0057
D98,P48,0.0058
D99,P40,0.0059
D100,P42,0.006
D101,P42,0.006
D102,P43,0.006
D103,P11,0.006
D103,P44,0.006
D104,P16,0.006
D71,P16,0.006
D62,P16,0.006
D105,P16,0.006
D61,P11,0.006
D106,P32,0.006
D54,P11,0.006
D75,P30,0.006
D60,P44,0.006
D90,P11,0.006
D107,P11,0.006
D87,P16,0.006
D106,P11,0.006
D108,P15,0.00615
D109,P40,0.0066
D110,P49,0.0066
D111,P11,0.0067
D93,P30,0.0068
D112,P50,0.007
D113,P50,0.007
D85,P11,0.007
D114,P11,0.007
D60,P31,0.007
D115,P11,0.007
D52,P11,0.007
D107,P32,0.007
D55,P31,0.007
D55,P16,0.007
D51,P30,0.007
D51,P32,0.007
D52,P30,0.007
D116,P16,0.007
D117,P32,0.007
D118,P51,0.007
D119,P51,0.007
D120,P40,0.0075
D121,P52,0.007762
D122,P31,0.0078
D49,P16,0.0079
D123,P53,0.00794
D124,P50,0.008
D125,P42,0.008
D121,P52,0.008
D126,P54,0.008
D127,P11,0.008
D128,P34,0.008
D90,P30,0.008
D129,P31,0.008
D88,P30,0.008
D50,P30,0.008
D130,P11,0.008
D74,P32,0.008
D131,P32,0.008
D132,P16,0.008
D106,P44,0.008
D133,P38,0.008
D54,P38,0.008
D134,P27,0.008
D135,P38,0.0081
D136,P55,0.0085
D137,P11,0.0085
D138,P55,0.0086
D139,P35,0.009
D140,P50,0.009
D141,P50,0.009
D142,P50,0.009
D143,P42,0.009
D144,P42,0.009
D145,P42,0.009
D146,P16,0.009
D147,P30,0.009
D148,P11,0.009
D88,P16,0.009
D54,P16,0.009
D88,P11,0.009
D62,P44,0.009
D62,P32,0.009
D62,P31,0.009
D70,P16,0.009
D105,P11,0.009
D74,P16,0.009
D15,P9,0.009
D149,P40,0.0091
D97,P30,0.0094
D122,P16,0.0096
D22,P56,0.01
D150,P57,0.01
D80,P58,0.01
D151,P59,0.01
D152,P41,0.01
D153,P50,0.01
D153,P50,0.01
D154,P50,0.01
D155,P42,0.01
D156,P42,0.01
D157,P60,0.01
D158,P61,0.01
D159,P52,0.01
D127,P30,0.01
D160,P62,0.01
D161,P63,0.01
D160,P63,0.01
D117,P30,0.01
D54,P30,0.01
D50,P44,0.01
D115,P16,0.01
D91,P11,0.01
D162,P16,0.01
D129,P30,0.01
D59,P30,0.01
D55,P30,0.01
D162,P30,0.01
D107,P30,0.01
D133,P11,0.01
D163,P11,0.01
D88,P38,0.01
D50,P38,0.01
D70,P32,0.01
D87,P32,0.01
D89,P38,0.01
D147,P16,0.01
D90,P16,0.01
D107,P16,0.01
D148,P16,0.01
D164,P16,0.01
D129,P11,0.01
D165,P11,0.01
D166,P11,0.01
D53,P31,0.01
D75,P32,0.01
D60,P16,0.01
D167,P11,0.01
D72,P11,0.01
D167,P30,0.01
D72,P30,0.01
D70,P30,0.01
D106,P16,0.01
D168,P64,0.01
D169,P65,0.01
D170,P66,0.01
D171,P50,0.011
D172,P50,0.011
D112,P50,0.011
D173,P42,0.011
D174,P42,0.011
D175,P67,0.011
D176,P11,0.011
D177,P11,0.011
D68,P44,0.011
D178,P31,0.011
D179,P48,0.011
D180,P11,0.011
D179,P44,0.011
D181,P31,0.011
D182,P31,0.011
D183,P12,0.012
D153,P68,0.012
D171,P50,0.012
D184,P50,0.012
D112,P68,0.012
D185,P42,0.012
D186,P42,0.012
D103,P30,0.012
D44,P31,0.012
D179,P16,0.012
D187,P11,0.012
D188,P11,0.012
D80,P69,0.013
D189,P42,0.013
D190,P42,0.013
D191,P42,0.013
D69,P32,0.013
D192,P70,0.013
D149,P58,0.014
D193,P50,0.014
D142,P50,0.014
D194,P42,0.014
D195,P42,0.014
D196,P32,0.014
D197,P71,0.014
D180,P30,0.014
D122,P44,0.014
D198,P72,0.0149
D199,P72,0.0149
D200,P72,0.0149
D201,P72,0.0149
D202,P72,0.0149
D203,P72,0.0149
D204,P72,0.0149
D205,P72,0.0149
D206,P72,0.0149
D207,P72,0.0149
D208,P72,0.0149
D209,P72,0.0149
D210,P72,0.0149
D211,P72,0.0149
D198,P72,0.0149
D199,P72,0.0149
D200,P72,0.0149
D201,P72,0.0149
D202,P72,0.0149
D203,P72,0.0149
D204,P72,0.0149
D205,P72,0.0149
D206,P72,0.0149
D207,P72,0.0149
D208,P72,0.0149
D209,P72,0.0149
D210,P72,0.0149
D211,P72,0.0149
D212,P73,0.015
D212,P73,0.015
D213,P42,0.015
D214,P42,0.015
D215,P42,0.015
D216,P42,0.015
D217,P74,0.015
D137,P16,0.015
D218,P65,0.0154
D219,P15,0.0155
D220,P75,0.015849
D221,P76,0.01586
D222,P50,0.016
D223,P77,0.016
D224,P50,0.016
D225,P42,0.016
D226,P42,0.016
D227,P78,0.016
D228,P29,0.016
D229,P43,0.016
D229,P43,0.016
D103,P16,0.016
D220,P75,0.016
D197,P71,0.016
D44,P16,0.016
D104,P48,0.016
D104,P44,0.016
D104,P31,0.016
D230,P48,0.016
D231,P79,0.016
D232,P27,0.016
D233,P15,0.0164
D234,P80,0.017
D235,P50,0.017
D141,P65,0.017
D236,P42,0.017
D237,P44,0.017
D57,P16,0.017
D238,P81,0.017
D239,P50,0.018
D240,P42,0.018
D241,P42,0.018
D127,P44,0.018
D230,P44,0.018
D78,P44,0.018
D242,P64,0.018
D243,P82,0.018
D244,P26,0.018197
D245,P83,0.019
D246,P35,0.019
D247,P42,0.019
D227,P78,0.019
D248,P11,0.019
D176,P32,0.019
D78,P48,0.019
D45,P32,0.019
D249,P77,0.019
D250,P84,0.019
D250,P84,0.019
D251,P45,0.019
D252,P27,0.0193
D253,P85,0.02
D254,P57,0.02
D255,P35,0.02
D256,P35,0.02
D257,P35,0.02
D184,P50,0.02
D258,P50,0.02
D259,P42,0.02
D260,P42,0.02
D261,P42,0.02
D262,P42,0.02
D263,P42,0.02
D264,P42,0.02
D265,P85,0.02
D266,P47,0.02
D267,P52,0.02
D268,P86,0.02
D86,P11,0.02
D86,P34,0.02
D269,P87,0.02
D270,P88,0.02
D71,P30,0.02
D166,P16,0.02
D271,P30,0.02
D62,P30,0.02
D91,P30,0.02
D164,P30,0.02
D163,P44,0.02
D272,P11,0.02
D116,P11,0.02
D273,P11,0.02
D76,P11,0.02
D274,P11,0.02
D132,P32,0.02
D162,P38,0.02
D117,P38,0.02
D163,P16,0.02
D71,P44,0.02
D135,P11,0.02
D72,P32,0.02
D162,P32,0.02
D61,P44,0.02
D51,P44,0.02
D117,P44,0.02
D87,P44,0.02
D166,P44,0.02
D275,P31,0.02
D165,P31,0.02
D272,P16,0.02
D115,P30,0.02
D117,P11,0.02
D162,P44,0.02
D276,P11,0.02
D133,P30,0.02
D61,P30,0.02
D87,P30,0.02
D59,P44,0.02
D277,P35,0.02
D278,P89,0.02
D279,P89,0.02
D280,P89,0.02
D281,P66,0.02
D282,P76,0.02027
D22,P90,0.021
D193,P50,0.021
D141,P50,0.021
D283,P42,0.021
D284,P47,0.021
D237,P16,0.021
D284,P47,0.021
D178,P16,0.021
D285,P15,0.0219
D286,P42,0.022
D287,P42,0.022
D288,P42,0.022
D289,P42,0.022
D290,P42,0.022
D291,P42,0.022
D85,P44,0.022
D292,P91,0.022
D109,P58,0.023
D222,P50,0.023
D154,P50,0.023
D293,P42,0.023
D294,P92,0.023
D295,P93,0.023
D296,P94,0.023
D297,P32,0.023
D298,P89,0.023
D299,P95,0.023
D29,P90,0.024
D80,P96,0.024
D300,P80,0.024
D301,P35,0.024
D302,P41,0.024
D112,P65,0.024
D303,P42,0.024
D304,P42,0.024
D265,P85,0.024
D265,P85,0.024
D300,P35,0.024
D305,P11,0.024
D306,P35,0.025
D153,P65,0.025
D113,P50,0.025
D307,P50,0.025
D124,P50,0.025
D141,P68,0.025
D227,P78,0.025
D297,P11,0.025
D78,P31,0.025
D308,P52,0.0251
D309,P97,0.0251
D198,P98,0.0258
D199,P98,0.0258
D200,P98,0.0258
D201,P98,0.0258
D202,P98,0.0258
D203,P98,0.0258
D204,P98,0.0258
D205,P98,0.0258
D206,P98,0.0258
D207,P98,0.0258
D208,P98,0.0258
D209,P98,0.0258
D210,P98,0.0258
D211,P98,0.0258
D99,P58,0.026
D310,P80,0.026
D311,P42,0.026
D312,P42,0.026
D313,P42,0.026
D314,P93,0.026
D315,P99,0.026
D316,P100,0.026
D317,P12,0.027
D318,P42,0.027
D319,P101,0.027
D320,P102,0.027
D321,P103,0.027
D322,P103,0.027
D323,P16,0.027
D49,P11,0.027
D324,P89,0.027
D323,P16,0.027
D325,P42,0.028
D326,P42,0.028
D327,P42,0.028
D98,P32,0.028
D328,P103,0.028
D81,P44,0.028
D178,P44,0.028
D120,P58,0.029
D171,P65,0.029
D329,P42,0.029
D330,P104,0.029
D227,P78,0.029
D331,P78,0.029
D332,P105,0.029
D333,P106,0.029
D334,P107,0.029
D335,P57,0.03
D227,P108,0.03
D336,P109,0.03
D337,P109,0.03
D338,P35,0.03
D172,P50,0.03
D171,P68,0.03
D339,P42,0.03
D340,P42,0.03
D341,P42,0.03
D342,P42,0.03
D270,P110,0.03
D265,P111,0.03
D343,P112,0.03
D344,P113,0.03
D345,P114,0.03
D346,P72,0.03
D347,P115,0.03
D348,P16,0.03
D349,P16,0.03
D270,P88,0.03
D137,P44,0.03
D187,P44,0.03
D93,P11,0.03
D106,P31,0.03
D117,P16,0.03
D52,P16,0.03
D147,P11,0.03
D148,P32,0.03
D132,P30,0.03
D275,P30,0.03
D148,P30,0.03
D105,P30,0.03
D115,P44,0.03
D76,P44,0.03
D350,P11,0.03
D89,P11,0.03
D74,P38,0.03
D135,P32,0.03
D130,P32,0.03
D88,P31,0.03
D148,P31,0.03
D115,P31,0.03
D348,P16,0.03
D349,P16,0.03
D130,P16,0.03
D133,P16,0.03
D271,P11,0.03
D132,P11,0.03
D53,P44,0.03
D164,P11,0.03
D351,P38,0.03
D131,P38,0.03
D275,P16,0.03
D352,P16,0.03
D353,P16,0.03
D135,P30,0.03
D51,P38,0.03
D271,P31,0.03
D147,P31,0.03
D90,P31,0.03
D76,P30,0.03
D106,P30,0.03
D165,P30,0.03
D272,P30,0.03
D354,P89,0.03
D355,P89,0.03
D306,P35,0.03
D94,P11,0.03
D356,P116,0.03
D357,P117,0.03
D358,P118,0.0302
D359,P73,0.031
D359,P73,0.031
D360,P42,0.031
D361,P42,0.031
D362,P42,0.031
D363,P42,0.031
D68,P16,0.031
D103,P32,0.031
D81,P16,0.031
D49,P44,0.031
D93,P16,0.031
D44,P44,0.031
D94,P16,0.031
D364,P119,0.0314
D365,P52,0.0316
D366,P42,0.032
D367,P42,0.032
D368,P42,0.032
D227,P78,0.032
D352,P16,0.032
D351,P38,0.032
D57,P11,0.032
D78,P11,0.032
D369,P89,0.032
D370,P120,0.032
D142,P68,0.033
D371,P42,0.033
D372,P42,0.033
D373,P42,0.033
D374,P42,0.033
D375,P105,0.033
D375,P105,0.033
D376,P31,0.033
D377,P89,0.033
D46,P56,0.034
D378,P58,0.034
D379,P91,0.034
D380,P50,0.034
D235,P50,0.034
D381,P42,0.034
D382,P42,0.034
D383,P44,0.034
D187,P16,0.034
D384,P52,0.034674
D385,P121,0.034674
D142,P65,0.035
D386,P42,0.035
D387,P26,0.035
D114,P30,0.035
D114,P44,0.035
D44,P11,0.035
D179,P11,0.035
D230,P11,0.035
D104,P11,0.035
D388,P89,0.035
D244,P26,0.035481
D389,P35,0.036
D390,P50,0.036
D141,P122,0.036
D391,P42,0.036
D392,P42,0.036
D393,P42,0.036
D394,P42,0.036
D395,P42,0.036
D396,P123,0.036
D331,P78,0.036
D397,P91,0.036
D398,P103,0.036
D178,P11,0.036
D399,P124,0.037
D331,P78,0.037
D265,P111,0.037
D227,P78,0.037
D265,P111,0.037
D400,P43,0.037
D400,P43,0.037
D401,P103,0.037
D402,P30,0.037
D403,P35,0.038
D112,P125,0.038
D404,P42,0.038
D405,P42,0.038
D406,P42,0.038
D407,P42,0.038
D408,P123,0.038
D98,P36,0.038
D409,P16,0.038
D333,P106,0.038
D127,P16,0.038
D44,P48,0.038
D80,P126,0.039
D410,P35,0.039
D411,P42,0.039
D412,P42,0.039
D413,P42,0.039
D414,P42,0.039
D415,P42,0.039
D265,P127,0.039
D331,P78,0.039
D265,P127,0.039
D227,P128,0.039
D182,P30,0.039
D416,P129,0.039
D417,P129,0.039
D418,P52,0.0398
D253,P127,0.04
D419,P80,0.04
D420,P35,0.04
D421,P42,0.04
D422,P130,0.04
D423,P71,0.04
D270,P131,0.04
D424,P113,0.04
D425,P132,0.04
D346,P133,0.04
D426,P134,0.04
D427,P101,0.04
D270,P131,0.04
D315,P99,0.04
D54,P44,0.04
D428,P30,0.04
D167,P32,0.04
D429,P38,0.04
D87,P38,0.04
D133,P32,0.04
D167,P31,0.04
D50,P31,0.04
D132,P44,0.04
D70,P44,0.04
D131,P11,0.04
D72,P16,0.04
D73,P16,0.04
D89,P30,0.04
D403,P35,0.04
D430,P15,0.0405
D431,P41,0.041
D258,P50,0.041
D227,P78,0.041
D85,P32,0.041
D432,P15,0.041
D433,P31,0.041
D434,P31,0.041
D435,P41,0.042
D436,P42,0.042
D437,P42,0.042
D438,P45,0.042
D439,P135,0.043
D440,P42,0.043
D441,P42,0.043
D442,P42,0.043
D443,P42,0.043
D444,P44,0.043
D93,P44,0.043
D445,P89,0.043
D94,P44,0.043
D446,P76,0.04302
D447,P35,0.044
D448,P42,0.044
D449,P42,0.044
D450,P42,0.044
D451,P42,0.044
D315,P99,0.044
D452,P129,0.044
D453,P35,0.045
D454,P42,0.045
D455,P42,0.045
D456,P42,0.045
D408,P123,0.045
D457,P103,0.045
