Index,SMILES
D1,CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)CSC[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)CNC(=O)[C@H](CO)NC1=O)C(C)C)C(N)=O
D2,Oc1cc(-c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N2CC3CCC(C2)N3)c2c(cccc2c1)C#C
D3,Nc1ccc2c(c1)c(-c1ccccc1)n(CCCCCCc1cnnn1CCNc1c3CCCCc3nc3ccccc13)c1cc(=[NH2+])ccc21
D4,COc1cc2CCN(CCCCCCc3cnnn3CCNc3c4CCCCc4nc4ccccc34)[C@@H](c3ccccc3)c2cc1OC
D5,COc1cc2CCN(CCCCCCc3cnnn3CCNc3c4CCCCc4nc4ccccc34)[C@H](c3ccccc3)c2cc1OC
D6,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
D7,Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCCCn1nncc1CCNc1c3CCCCc3nc3ccccc13)c1cc(N)ccc21
D8,COc1cc2CCN(CCCCCc3cnnn3CCNc3c4CCCCc4nc4ccccc34)[C@H](c3ccccc3)c2cc1OC
D9,Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCCCCn1nncc1CCNc1c3CCCCc3nc3ccccc13)c1cc(N)ccc21
D10,Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCCCc1cnnn1CCNc1c3CCCCc3nc3ccccc13)c1cc(N)ccc21
D11,COc1cc2CCN(CCCCCc3cnnn3CCNc3c4CCCCc4nc4ccccc34)[C@@H](c3ccccc3)c2cc1OC
D12,CCN(CC)CC.CCN(CC)CC.CCN(CC)CC.CO[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](OP(O)(O)=O)[C@H]1OP(O)(O)=O
D13,CCN(CC)CC.CCN(CC)CC.CCN(CC)CC.CO[C@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1OP(O)(O)=O
D14,Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCCCCc1cnnn1CNc1c3CCCCc3nc3ccccc13)c1cc(N)ccc21
D15,Cn1ncc(c1-c1c(F)c(Cl)cc(OC2CC2)c1C#N)-c1ccc2c(c1)c(CN)n[nH]c2=O
D16,CCOC(=O)CCCNCC(O)COc1ccccc1C
D17,COC(=O)c1ccccc1OCC(O)CNC(C)C
D18,COC(=O)CCc1ccc(OCC(O)CNC(C)(C)C)cc1
D19,CCOC(=O)CCNCC(O)COc1ccccc1C
D20,COC(=O)CCc1ccc(OCC(O)CNCCc2ccc(OC)c(OC)c2)cc1
D21,NS(=O)(=O)c1c(F)c(F)c(c(NC2CCCCCCC2)c1F)S(=O)(=O)CCO
D22,Nc1ncnc2c(CN3CC(O)C(CSc4ccc(Cl)cc4)C3)c[nH]c12
D23,Oc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2c(C#C)c(F)ccc2c1
D24,Nc1nc(nc2n(cnc12)[C@@H]1O[C@H](COS(=O)(=O)[N-]C(=O)c2ccccc2O)[C@@H](O)[C@H]1O)-c1ccccc1
D25,COc1ccc2cccc(CCNC(=O)C(F)(F)F)c2c1
D26,CC(C)(C)Nc1c(F)c(c(F)c(F)c1S(=O)(=O)CCc1ccccc1)S(N)(=O)=O
D27,COc1ccc2cccc(CCNC(=O)C3CC3)c2c1
D28,COc1ccc2[nH]cc(CCNC(=O)C3CC3)c2c1
D29,Nc1ncnc2c(CN3CC(O)C(CSCc4ccccc4)C3)c[nH]c12
D30,Nc1nc2NCC(CCc3ccc(s3)C(=O)N[C@H](CCC(O)=O)C(O)=O)Sc2c(=O)[nH]1
D31,COc1ccc2cccc(CCNC(=O)CBr)c2c1
D32,CCSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O
D33,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
D34,COC(=O)c1ccccc1OCC(O)CNC(C)(C)C
D35,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)n1cc(F)c(=O)[nH]c1=O
D36,C\C(\C=C\c1ccccc1\C=C\C1=C(C)CCCC1(C)C)=C/C(O)=O
D37,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
D38,C\C(\C=C\c1ccoc1\C=C\C1=C(C)CCCC1(C)C)=C/C(O)=O
D39,CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(n1)-c1ccc(O)c(Cl)c1
D40,CC(C)(C)NCC(O)COc1cccc2[nH]c(cc12)C#N
D41,NS(=O)(=O)c1ccc(Cc2c(CC3CC3)n(nc2-c2ccc(F)c(OCc3ccc(o3)C(F)(F)F)c2)-c2nc(cs2)C(O)=O)cc1F
D42,CNC(=O)Nc1ccc2c(CC[C@@]22OC(=O)N(CC(=O)N(Cc3ccc(F)cc3)[C@@H](C)C(F)(F)F)C2=O)c1
D43,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)COc1c(C)cccc1C)Cc1ccccc1
D44,Cc1cc(N2CC(CC2=O)C(=O)N\N=C\c2ccccc2)c(Cl)c(C)c1S(N)(=O)=O
D45,NS(=O)(=O)c1cc(C(=O)NCCCC(O)=O)c(SCc2ccccc2)cc1Cl
D46,CSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O
D47,Nc1ncnc2c(c[nH]c12)C1NC(CSc2ccc(Cl)cc2)C(O)C1O
D48,Nc1nc2NCC(CCc3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O)Sc2c(=O)[nH]1
D49,COc1ccc(\C=N\NC(=O)C2CN(C(=O)C2)c2cc(C)c(c(C)c2Cl)S(N)(=O)=O)cc1
D50,CCCCNC(=O)c1cc(c(Cl)cc1SC1CCCCC1)S(N)(=O)=O
D51,COCCNC(=O)c1cc(c(Cl)cc1SC1CCCCC1)S(N)(=O)=O
D52,NS(=O)(=O)c1cc(C(=O)NCCCC(O)=O)c(SC2CCCCC2)cc1Cl
D53,CCCCNC(=O)c1cc(c(Br)cc1SC1CCCCC1)S(N)(=O)=O
D54,CCCCNC(=O)c1cc(c(Br)cc1Sc1ccccc1)S(N)(=O)=O
D55,CCCCNC(=O)c1cc(c(Cl)cc1SCCc1ccccc1)S(N)(=O)=O
D56,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
D57,Cc1cc(N2CC(CC2=O)C(=O)N\N=C\c2ccc(Cl)cc2)c(Cl)c(C)c1S(N)(=O)=O
D58,NS(=O)(=O)c1cc(ccc1Cl)C(=O)Cn1cnc2ccccc12
D59,NS(=O)(=O)c1cc(C(=O)NCCCO)c(SC2CCCCC2)cc1Cl
D60,NS(=O)(=O)c1cc(C(=O)NCc2ccccc2)c(SC2CCCCC2)cc1Cl
D61,NS(=O)(=O)c1cc(C(=O)NCCCO)c(Sc2ccccc2)cc1Cl
D62,CCCCNC(=O)c1cc(c(Br)cc1SCCc1ccccc1)S(N)(=O)=O
D63,C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2C(=O)N2CCCC[C@@H]2C)-c2nnc(CC(C)(C)C(O)=O)o2)c(C(F)F)c1F)C(F)(F)F
D64,Nc1nc2NCC(CCc3ccc(s3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)Sc2c(=O)[nH]1
D65,NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1F
D66,CCCCC(=O)NCCc1cccc2ccc(OC)cc12
D67,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(C)C)[C@@H](O)CC(O)=O
D68,NS(=O)(=O)c1cc(C(=O)NCc2ccccc2)c(NCc2ccccc2)cc1Cl
D69,NS(=O)(=O)c1cc(C(=O)NCCCO)c(NC2CCCCC2)cc1Cl
D70,COCCNC(=O)c1cc(c(Cl)cc1Sc1ccccc1)S(N)(=O)=O
D71,CCCCNC(=O)c1cc(c(Cl)cc1Sc1ccccc1)S(N)(=O)=O
D72,NS(=O)(=O)c1cc(C(=O)NCCO)c(Sc2ccccc2)cc1Cl
D73,CCCCNC(=O)c1cc(c(Br)cc1S(=O)(=O)C1CCCCC1)S(N)(=O)=O
D74,NS(=O)(=O)c1cc(C(=O)NCCO)c(SC2CCCCC2)cc1Cl
D75,NC(=O)c1cc(c(Cl)cc1SC1CCCCC1)S(N)(=O)=O
D76,NS(=O)(=O)c1cc(C(=O)NCc2ccccc2)c(cc1Cl)S(=O)(=O)c1ccccc1
D77,NS(=O)(=O)c1ccc(Cc2c(CC3CC3)n(nc2-c2ccc(F)c(OC3CC3)c2)-c2nc(cs2)C(O)=O)cc1F
D78,Cc1cc(N2CC(CC2=O)c2n[nH]c(=S)n2-c2ccccc2)c(Cl)c(C)c1S(N)(=O)=O
D79,COc1cc(NC(=O)[C@@H](Cc2ccccc2)NC2=C\C(=N\O)c3ccccc3C2=O)cc(OC)c1
D80,COC(=O)C[C@@H]1N=C(c2c(C)c(sc2-n2c(C)nnc12)C(=O)NCCOCCNC(=O)C[C@@H]1N=C(c2c(C)c(C)sc2-n2c(C)nnc12)c1ccc(Cl)cc1)c1ccc(Cl)cc1
D81,Cc1cc(N2CC(CC2=O)C(=O)N\N=C\c2ccc(Br)cc2)c(Cl)c(C)c1S(N)(=O)=O
D82,Cc1cnc2N3CCCCC3CN(Cc3cc(ccc3Cl)C(CC(O)=O)c3ccn4c(nnc4c3C)C(F)(F)F)S(=O)(=O)c2c1
D83,OC[C@H]1CCN(C1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D84,CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1C
D85,NS(=O)(=O)c1cc(C(=O)NCCO)c(NCc2ccccc2)cc1Cl
D86,NS(=O)(=O)c1cc(C(=O)Nn2cnc3ccccc23)c(SC2CCCCC2)cc1Cl
D87,CCCCNC(=O)c1cc(c(Br)cc1SCc1ccccc1)S(N)(=O)=O
D88,NC(=O)c1cc(c(Cl)cc1Sc1ccccc1)S(N)(=O)=O
D89,NS(=O)(=O)c1cc(C(=O)NCCCC(O)=O)c(Sc2ccccc2)cc1Cl
D90,COC(=O)CCCNC(=O)c1cc(c(Cl)cc1SC1CCCCC1)S(N)(=O)=O
D91,CCCCNC(=O)c1cc(c(Cl)cc1S(=O)(=O)c1ccccc1)S(N)(=O)=O
D92,CC[C@H](C)[C@H](NC(=O)CCC(=O)N[C@@H](CCCCNC(=O)[C@@H](CCCNC(N)=N)NC(=O)CCCCCCCC(=O)N1CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H](CCCNC(N)=N)C(N)=O)C(=O)NCC(C)=O
D93,COC(=O)C1CN(C(=O)C1)c1ccc(cc1)S(N)(=O)=O
D94,Cc1cc(cc(C)c1S(Cl)(=O)=O)N1CC(CC1=O)C(O)=O
D95,NCCCC[C@@H](NC(=O)CCCCCNC(=O)c1ccc(s1)-c1ccnc(N)n1)C(=O)NCCCCCC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCN=C(N)N)C(N)=O
D96,Cc1cc(N2CC(CC2=O)C(=O)NN)c(Cl)c(C)c1S(N)(=O)=O
D97,CCCCNC(=O)c1cc(c(Cl)cc1NC1CCCCCCC1)S(N)(=O)=O
D98,CC(C)(C)c1cc(=O)[nH]c(SCC(=O)c2ccc(cc2)S(N)(=O)=O)n1
D99,COC(=O)C[C@@H]1N=C(c2c(C)c(sc2-n2c(C)nnc12)C(=O)NCCOCCOCCOCCOCCOCCOCCOCCNC(=O)C[C@@H]1N=C(c2c(C)c(C)sc2-n2c(C)nnc12)c1ccc(Cl)cc1)c1ccc(Cl)cc1
D100,CC(C)OC1CCN(CC1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D101,O=C(CNC(=O)c1ccnc2ccc(cc12)N1C[C@@H]2C[C@H]1CO2)N1CSC[C@H]1C#N
D102,CN(CCN)c1ccc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)cc1NC(C)=O
D103,NS(=O)(=O)c1cc(C(=O)NCCCO)c(NCc2ccccc2)cc1Cl
D104,COC(=O)C1CN(C(=O)C1)c1cc(C)c(c(C)c1Cl)S(N)(=O)=O
D105,CCCCNC(=O)c1cc(c(Br)cc1S(=O)(=O)c1ccccc1)S(N)(=O)=O
D106,CCCCNC(=O)c1cc(c(Cl)cc1SCc1ccccc1)S(N)(=O)=O
D107,NS(=O)(=O)c1cc(C(=O)NCCO)c(SC2CCCCC2)cc1Br
D108,CCCC(=O)NCCc1cccc2ccc(OC)cc12
D109,COC(=O)C[C@@H]1N=C(c2c(C)c(sc2-n2c(C)nnc12)C(=O)NCCOCCOCCOCCOCCNC(=O)C[C@@H]1N=C(c2c(C)c(C)sc2-n2c(C)nnc12)c1ccc(Cl)cc1)c1ccc(Cl)cc1
D110,CC#CCn1c(nc2n(C)c(=O)n(Cc3nc(C)c4ccccc4n3)c(=O)c12)N1CCC[C@@H](N)C1
D111,CCCS(=O)(=O)c1c(F)c(F)c(c(F)c1NC1CCCCCCC1)S(N)(=O)=O
D112,OCc1cc2ncc(-c3cccc(N[C@H]4CNC[C@@H]4F)n3)n2cc1C1CC1
D113,FC(F)c1ccc2ncc(-c3cccc(N[C@H]4CNC[C@@H]4F)n3)n2c1
D114,CCCCNC(=O)c1cc(c(Cl)cc1NCc1ccccc1)S(N)(=O)=O
D115,CCCCNC(=O)c1cc(c(Cl)cc1S(=O)(=O)C1CCCCC1)S(N)(=O)=O
D116,NS(=O)(=O)c1cc(C(=O)NCCCO)c(cc1Cl)S(=O)(=O)c1ccccc1
D117,NS(=O)(=O)c1cc(C(=O)NCc2ccccc2)c(Sc2ccccc2)cc1Cl
D118,NCCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)OCC1c2ccccc2-c2ccccc12)C(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)OCC1c2ccccc2-c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)OCC1c2ccccc2-c2ccccc12)C(=O)NCC(O)=O
